Name,Headofficelocation,Yearstarted
A&W Restaurants,Kentucky,1919
America's Incredible Pizza Company,Missouri,2002
Applebee's,California,1980
Arby's,Georgia,1964
Arctic Circle Restaurants,Utah,1950
Arthur Treacher's,NewYork,1969
Atlanta Bread Company,Georgia,1993
Auntie Anne's,Pennsylvania,1988
Bahama Breeze,Florida,1996
Baja Fresh,Arizona,1990
Bakers Square,Tennessee,1969
Baskin-Robbins,Massachusetts,1945
Beef O'Brady's,Florida,1985
Ben & Jerry's,Vermont,1978
Benihana,Florida,1964
Bennigan's,Texas,1976
Bertucci's,Massachusetts,1981
Big Boy ,Michigan,1936
BJ's Restaurants,California,1978
Black Angus Steakhouse,California,1964
Black-eyed Pea,"Texas and Denver,Colorado",1975
Blake's Lotaburger,NewMexico,1952
Blimpie,Arizona,1964
Bob Evans Restaurants,Ohio,1948
Bojangles' Famous Chicken 'n Biscuits,NorthCarolina,1977
Bonefish Grill,Florida,2000
Boston Market,Colorado,1984
Braum's,Oklahoma,1968
Bravo Brio Restaurant Group,Ohio,1999
Bubba Gump Shrimp Company,Texas,1996
Buca di Beppo,Florida,1993
Buffalo Wild Wings,Minnesota,1982
Burger King,Florida,1953
Burger Street,Texas,1985
Burgerville,Washington,1961
Cafe Rio,Utah,1997
California Pizza Kitchen,California,1985
California Tortilla,Maryland,1995
Camille's Sidewalk Cafe,Oklahoma,1996
Captain D's,Tennessee,1969
Carino's Italian,Texas,1968
Carl's Jr.,Tennessee,1941
Carrabba's Italian Grill,Florida,1986
Carrows,California,1970
Carvel,Connecticut,1929
Champps Americana,Texas,1984
Charleys Philly Steaks,Ohio,1986
Charlie Brown's Fresh Grill,NewJersey,1966
Checkers and Rally's,Florida,1999
Cheddar's Scratch Kitchen,Texas,1979
Cheeburger Cheeburger,Florida,1986
Cheeseburger in Paradise,Texas,2002
Cheesecake Factory,California,1972
Chester's International,Alabama,1952
Chevys Fresh Mex,California,1986
Chick-fil-A,Georgia,1946
Chicken Express,Texas,1988
Chicken in the Rough,Oklahoma,1936
Chili's,Texas,1975
Chipotle Mexican Grill,California,1993
Chuck E. Cheese's,Texas,1977
Chuck-A-Rama,Utah,1966
Church's Chicken,Georgia,1952
Cicis,Texas,1985
Cinnabon,Georgia,1985
Claim Jumper,Texas,1977
Coco's Bakery,Oregon,1948
Cold Stone Creamery,Arizona,1988
Copeland's,Louisiana,1983
Cotton Patch Café,Texas,1989
Cracker Barrel,Tennessee,1969
Culver's,Wisconsin,1984
Dairy Queen,Minnesota,1940
Dave & Buster's,Texas,1982
Del Taco,California,1964
Denny's,SouthCarolina,1953
Dixie Chili and Deli,Kentucky,1929
Domino's Pizza,Michigan,1960
Don Pablo's,Texas,1985
Donatos Pizza,Ohio,1963
Duchess,Connecticut,1956
Duck Donuts,Pennsylvania,2006
Dunkin' Donuts,Massachusetts,1950
East of Chicago Pizza,Ohio,1982
Eat'n Park,Pennsylvania,1949
Eegee's,Arizona,1971
El Chico,Texas,1940
El Pollo Loco,California,1974
El Taco Tote,Texas,1988
Elephant Bar,California,1980
Famous Dave's,Minnesota,1994
Farmer Boys,California,1981
Fatburger,California,1947
Fatz,SouthCarolina,1988
Fazoli's,Kentucky,1988
Five Guys,Virginia,1986
Fleming's Prime Steakhouse & Wine Bar,Florida,1998
Freddy's Frozen Custard & Steakburgers,Kansas,2002
Freebirds World Burrito,Texas,1987
Friendly's,Massachusetts,1935
Frisch's Big Boy,Ohio,1939
Fuddruckers,Texas,1979
GameWorks,Nevada,1996
Gatti's Pizza,Texas,1964
Gino's Pizza and Spaghetti,WestVirginia ,1961
Giordano's Pizzeria,Illinois,1974
Godfather's Pizza,Nebraska,1973
Gold Star Chili,Ohio,1965
Golden Chick,Texas,1967
Golden Corral,NorthCarolina,1973
Green Burrito,Tennessee,1980
Ground Round,Maine,1969
Hard Rock Cafe,Florida,1971
Hardee's,Tennessee,1960
Hobee's Restaurant,California,1974
Hooters,Georgia,1983
Houlihan's,Kansas,1972
Houston's Restaurant,California,1977
Howard Johnson's,NewJersey,1925
Huddle House,Georgia,1964
HuHot Mongolian Grill,Montana,1999
Hungry Howie's Pizza,Michigan,1973
Hwy 55 Burgers Shakes & Fries,NorthCarolina,1991
IHOP,California,1958
In-N-Out Burger,California,1948
Jack in the Box,California,1951
Jack's,Alabama,1960
Jamba Juice,Texas,1990
Jason's Deli,Texas,1976
Jerry's Subs & Pizza,Maryland,1954
Jersey Mike's Subs,NewJersey,1956
Jet's Pizza,Michigan,1978
Jim's Restaurants,Texas,1947
Jimmy John's,Illinois,1983
Joe's Crab Shack,Texas,1991
John's Incredible Pizza Company,California,1997
Johnny Rockets,California,1986
Jollibee,Philippines,1998
Ker's WingHouse Bar & Grill,Florida,1994
KFC,Kentucky,1930
Krispy Kreme,NorthCarolina,1937
Krystal,Georgia,1932
L&L Hawaiian Barbecue,Hawaii,1976
"Landry's, Inc.",Texas,1980
Ledo Pizza,Maryland,1955
Lee Roy Selmon's,Florida,2000
Lee's Famous Recipe Chicken,Florida,1966
Lee's Sandwiches,California,1983
Lion's Choice,Missouri,1967
Little Caesars,Michigan,1959
Logan's Roadhouse,Tennessee,1991
Lone Star Steakhouse & Saloon,Texas,1989
Long John Silver's,Kentucky,1969
LongHorn Steakhouse,Florida,1981
Luby's,Texas,1947
Maggiano's Little Italy,Texas,1991
Marie Callender's,California,1948
Max & Erma's,Ohio,1972
Mazzio's Italian Eatery,Oklahoma,1961
McAlister's Deli,Georgia,1989
McDonald's,Illinois,1940
Miller's Ale House,Florida,1988
Milo's Hamburgers,Alabama,1946
Mitchell's Fish Market,Texas,1998
Moe's Southwest Grill,Georgia,2000
Monical's Pizza,Illinois,1959
Montana Mike's,Texas,1966
Mooyah,Texas,2007
Mrs. Fields,Colorado,1977
National Coney Island,Michigan,1965
Naugles,California,2015
Noodles & Company,Colorado,1995
O'Charley's,Tennessee,1971
Oberweis Dairy,Illinois,1927
Ojos Locos,Texas,2010
Old Country Buffet,SouthCarolina,1983
Olive Garden,Florida,1982
On the Border Mexican Grill & Cantina,Texas,1982
Outback Steakhouse,Florida,1988
P. F. Chang's China Bistro,Arizona,1993
Panda Express,California,1983
Panera Bread,Missouri,1987
Papa Gino's,Massachusetts,1961
Papa John's Pizza,Kentucky,1984
Papa Murphy's Take 'N' Bake Pizza,Washington,1981
Pei Wei Asian Diner,Texas,2000
Penn Station East Coast Subs,Ohio,1985
Perkins Restaurant and Bakery,Tennessee,1958
Phở Hòa,California,1983
Pita Pit,Idaho,1995
Pizza Hut,Texas,1958
Pizza Inn,Texas,1958
Pizza Ranch,Iowa,1981
Planet Hollywood,Florida,1991
Ponderosa and Bonanza Steakhouses,Texas,1963
Popeyes,Florida,1972
Port of Subs,Nevada,1972
Portillo's Restaurants,Illinois,1963
Potbelly Sandwich Shop,Illinois,1977
Qdoba,California,1995
Quaker Steak & Lube,Pennsylvania,1974
Quiznos,Colorado,1981
Rainforest Cafe,Texas,1994
Raising Cane's Chicken Fingers,Louisiana,1996
Rax Roast Beef,Ohio,1967
Red Hot & Blue,NorthCarolina,1989
Red Lobster,Florida,1968
Red Robin,Colorado,1969
Redneck Heaven,Texas,2008
Redstone American Grill,Minnesota,1999
Robeks,California,1996
Rock Bottom,Tennessee,1999
Romano's Macaroni Grill,Colorado,1988
Round Table Pizza,California,1959
Roy Rogers Restaurants,Maryland,1968
Roy's,Texas,1988
Rubio's Coastal Grill,California,1983
Ruby Tuesday,Tennessee,1972
Ruth's Chris Steak House,Florida,1965
Saladworks,Pennsylvania,1986
Sbarro,Ohio,1956
Schlotzsky's,Georgia,1971
Seasons 52,Florida,2003
Shake Shack,NewYork,2004
Shane's Rib Shack,Georgia,2002
Shari's Cafe & Pies,Oregon,1978
Shoney's,Tennessee,1947
Showmars,NorthCarolina,1982
Sizzler,California,1958
Skyline Chili,Ohio,1949
Smashburger,Colorado,2007
Sneaky Pete's,Alabama,1966
Sonic Drive-In,Oklahoma,1953
Souplantation and Sweet Tomatoes,California,1978
Spaghetti Warehouse,Texas,1972
Spangles,Kansas,1978
SPiN,NewYork,2009
Starbucks,Washington,1971
Steak 'n Shake,Indiana,1934
Steak and Ale,Texas,1966
Sticky Fingers Ribhouse,SouthCarolina,1992
Stir Crazy,Illinois,1995
Subway,Connecticut,1965
Swensen's,"Ontario,Canada",1948
Swensons,Ohio,1934
Taco Bell,California,1962
Taco Bueno,Texas,1967
Taco Cabana,Texas,1978
Taco John's,Wyoming,1969
Taco Mayo,Oklahoma,1978
Taco Tico,Kansas,1962
Taco Time,Arizona,1960
Tastee-Freez,California,1950
Texas Roadhouse,Kentucky,1993
TGI Fridays,Texas,1965
The Capital Grille,Florida,1990
The Melting Pot,Florida,1975
The Old Spaghetti Factory,Oregon,1969
The Original Italian Pie,Louisiana,1992
The Original Pancake House,Oregon,1953
Tijuana Flats,Florida,1995
Tilted Kilt Pub & Eatery,Arizona,2003
Tony Roma's,Texas,1972
Trader Vic's,California,1934
Twin Peaks,Texas,2008
Umami Burger,California,2009
Uncle Maddio's Pizza Joint,Georgia,2009
Uno Pizzeria & Grill,Massachusetts,1943
Valentino's,Nebraska,1957
Village Inn,Tennessee,1959
Waffle House,Georgia,1955
Wendy's,Ohio,1969
Wetzel's Pretzels,California,1994
Whataburger,Texas,1950
Which Wich?,Texas,2003
White Castle,Ohio,1921
Wienerschnitzel,California,1961
Wild Wing Cafe,NorthCarolina,1990
Zaxby's,Georgia,1990
